sep=,
AFV[Project Number],AFV[Project Name],AFV[Client],AFV[Probability],AFV[Business],AFV[Discipline],AFV[Business Code],AFV[Discipline Code],AFV[Next Sequence Number],AFV[Work Order Name],AFV[Work Order Type],AFV[Internal/External],AFV[Original Scope / Change],AFV[Start Date],AFV[End Date],AFV[InoEngineering AFV Revenue],AFV[InoSurveying AFV Revenue],AFV[Project Key],AFV[Work Order Title],AFV[Initial Value],AFV[Order Value],AFV[Cumulative Value],AFV[Value to Complete],AFV[Cost to Date],AFV[Manual Cost Adjustment],AFV[Anticipated Final Cost (EV)],AFV[Forecast Profit],AFV[Profit Margin],AFV[Link]
240207,TRU West Framework,Amey,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,3,240207-AMEY-22003-CRQ090-TRU_W3_THB_Wknd22_Alder_Street_RRAP,Fixed Fee,External,Change,30/10/2025,31/12/2025,0,0,240207,CRQ090-TRU_W3_THB_Wknd22_Alder_Street_RRAP,714.07,714.07,714.07,0,0,0,0,714.07,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,8,240207-AMEY-22008-CRQ095-TRU_W3_THB_Week23_Siemens,Fixed Fee,External,Change,30/10/2025,31/12/2025,0,0,240207,CRQ095-TRU_W3_THB_Week23_Siemens,1100,1100,1100,0,0,0,0,1100,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,10,240207-AMEY-22010-CRQ099-Amey_TRU_W3_Uppermill_Topo_Survey,Fixed Fee,External,Change,30/10/2025,31/12/2025,0,0,240207,CRQ099-Amey_TRU_W3_Uppermill_Topo_Survey,1592.94,1592.94,1592.94,0,0,0,0,1592.94,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Monitoring,2,4,3,240207-AMEY-24003-CRQ101-Amey_TRU_W3_Gravity_Pad_Monitoring,Fixed Fee,External,Change,30/10/2025,31/12/2025,0,0,240207,CRQ101-Amey_TRU_W3_Gravity_Pad_Monitoring,14275.63,14275.63,14275.63,0,0,0,0,14275.63,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Monitoring,2,4,4,240207-AMEY-24004-CRQ102-Amey_TRU_W3_Drainage_Monitoring,Fixed Fee,External,Change,30/10/2025,31/12/2025,0,0,240207,CRQ102-Amey_TRU_W3_Drainage_Monitoring,16416.53,16416.53,16416.53,0,0,0,0,16416.53,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Monitoring,2,4,5,240207-AMEY-24005-CRQ103-Amey_TRU_W3_Gravity_Pad_Monitoring,Fixed Fee,External,Change,30/10/2025,31/12/2025,0,0,240207,CRQ103-Amey_TRU_W3_Gravity_Pad_Monitoring,14275.63,14275.63,14275.63,0,0,0,0,14275.63,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Monitoring,2,4,6,240207-AMEY-24006-CRQ104-TRU_Geotechnical_Engineer_A01,Fixed Fee,External,Change,30/10/2025,31/12/2025,0,0,240207,CRQ104-TRU_Geotechnical_Engineer_A01,1500,1500,1500,0,0,0,0,1500,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240207,TRU West Framework,Amey,1,InoSurveying,Monitoring,2,4,8,240207-AMEY-24008-CRQQ106-TRU_W3_THB_Wkd26&30,Fixed Fee,External,Change,30/10/2025,31/12/2025,0,0,240207,CRQQ106-TRU_W3_THB_Wkd26&30,1462.71,1462.71,1462.71,0,0,0,0,1462.71,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240207 Amey - TRU West Framework/02_Commercial/00_AFV/240207_Project_Dashboard.xlsx
240279,NWC D1 NW-MND0440 Accrington Rd Monitoring,AMCO,1,InoSurveying,Monitoring,2,4,2,240279-AMCO-24002-Point_Cloid_Scanning_Survey,Fixed Fee,Internal,Original Scope,22/05/2025,31/12/2025,0,0,240279,Point_Cloid_Scanning_Survey,855,855,855,0,0,0,0,855,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240279 AMCO - NWC D1 NW-MND0440 Accrington Rd Monitoring/02_Commercial/00_AFV/240279_Project_Dashboard.xlsx
240318,Darlington Station Drainage and CCTV,Atkins,1,InoSurveying,Monitoring,2,4,3,240318-Atkins-24003-Possession Planning,Fixed Fee,Internal,Original Scope,30/05/2025,31/12/2025,0,0,240318,Possession Planning,1575,1575,1575,0,0,0,0,1575,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240318 Atkins_Darlington Stn/02_Commercial/00_AFV/240318_Project_Dashboard.xlsx
240318,Darlington Station Drainage and CCTV,Atkins,1,InoSurveying,Monitoring,2,4,4,240318-Atkins-24004-Isolation P Team,Fixed Fee,Internal,Original Scope,30/05/2025,31/12/2025,0,0,240318,Isolation P Team,3600,3600,3600,0,0,0,0,3600,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240318 Atkins_Darlington Stn/02_Commercial/00_AFV/240318_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Processing,2,1,6,240335-Atkins-21006-Bermuda_Park_DN_Possession_Planning,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Bermuda_Park_DN_Possession_Planning,1350,1350,1350,0,0,0,0,1350,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Surveying Project Management,2,0,2,240335-Atkins-20002-Primrose_Hill_Management,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Primrose_Hill_Management,484.76,484.76,484.76,0,0,0,0,484.76,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,"Materials, Expenses, Accommodation",2,6,3,240335-Atkins-26003-Primrose_Hill_Disbursements,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Primrose_Hill_Disbursements,2216,2216,2216,0,0,0,0,2216,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Processing,2,1,4,240335-Atkins-21004-Primrose_Hill_Possession_Planning,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Primrose_Hill_Possession_Planning,1350,1350,1350,0,0,0,0,1350,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,7,240335-Atkins-22007-Primrose_Hill_Site_Survey,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Primrose_Hill_Site_Survey,6412.5,6412.5,6412.5,0,0,0,0,6412.5,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Processing,2,1,5,240335-Atkins-21005-Primrose_Hill_Processing,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Primrose_Hill_Processing,1781.08,1781.08,1781.08,0,0,0,0,1781.08,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Surveying Project Management,2,0,3,240335-Atkins-20003-Bermuda_Park_DN_Management,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Bermuda_Park_DN_Management,484.76,484.76,484.76,0,0,0,0,484.76,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,"Materials, Expenses, Accommodation",2,6,4,240335-Atkins-26004-Bermuda_Park_DN_Disbursements,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Bermuda_Park_DN_Disbursements,1024,1024,1024,0,0,0,0,1024,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,8,240335-Atkins-22008-Bermuda_Park_DN_Site_Survey,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Bermuda_Park_DN_Site_Survey,6840,6840,6840,0,0,0,0,6840,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Processing,2,1,7,240335-Atkins-21007-Bermuda_Park_DN_Processing,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Bermuda_Park_DN_Processing,2278.52,2278.52,2278.52,0,0,0,0,2278.52,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Processing,2,1,3,240335-Atkins-21003-Roade_&_Ashton_Processing,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Roade_&_Ashton_Processing,3064.72,3064.72,3064.72,0,0,0,0,3064.72,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,6,240335-Atkins-22006-Roade_&_Ashton_Site_Survey,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Roade_&_Ashton_Site_Survey,8977.5,8977.5,8977.5,0,0,0,0,8977.5,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,"Materials, Expenses, Accommodation",2,6,2,240335-Atkins-26002-Roade_&_Ashton_Disbursements,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Roade_&_Ashton_Disbursements,1024,1024,1024,0,0,0,0,1024,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,3,240335-Atkins-22003-Warehills_to_Tollerton,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Warehills_to_Tollerton,13503.47,13503.47,13503.47,0,0,0,0,13503.47,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,4,240335-Atkins-22004-Leighton_Buzzard,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Leighton_Buzzard,8777.12,8777.12,8777.12,0,0,0,0,8777.12,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,5,240335-Atkins-22005-Welham_Green_Station,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Welham_Green_Station,10000.58,10000.58,10000.58,0,0,0,0,10000.58,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Processing,2,1,2,240335-Atkins-21002-Roade_&_Ashton_Possesion_Planning,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Roade_&_Ashton_Possesion_Planning,1350,1350,1350,0,0,0,0,1350,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240369,St Helens Central Platform,Atkins,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,2,240369-Atkins -22002-Access Planning,Fixed Fee,Internal,Original Scope,04/07/2025,31/12/2025,0,0,240369,Access Planning,650,650,650,0,0,0,0,650,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240369 Atkins CMP1 Signal And St Helens Central/02_Commercial/00_AFV/240369_Project_Dashboard.xlsx
250005,Mossley Retaining Wall,AMCO,1,InoSurveying,Monitoring,2,4,2,250005-AMCO-24002-Remote_Monitoring,Fixed Fee,Internal,Original Scope,20/08/2025,31/12/2025,0,0,250005,Remote_Monitoring,1968.75,1968.75,1968.75,0,0,0,0,1968.75,1,https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/250005 AMCO - Mossley Retaining Wall & Survey/02_Commercial/00_AFV/250005_Project_Dashboard.xlsx
250005,Mossley Retaining Wall,AMCO,1,InoSurveying,Monitoring,2,4,3,250005-AMCO-24003-Retro_Target_Monitoring,Fixed Fee,Internal,Original Scope,20/08/2025,31/12/2025,0,0,250005,Retro_Target_Monitoring,2291,2291,2291,0,0,0,0,2291,1,https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/250005 AMCO - Mossley Retaining Wall & Survey/02_Commercial/00_AFV/250005_Project_Dashboard.xlsx
250019,Lancelot Rd Wembley OLE Monitoring,AMCO,1,InoSurveying,"Materials, Expenses, Accommodation",2,6,2,250019-AMCO-26002-Kit_Purchase,Fixed Fee,Internal,Original Scope,04/07/2025,31/12/2025,0,0,250019,Kit_Purchase,1802.05,1802.05,1802.05,0,0,0,0,1802.05,1,https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/250019 AMCO - Lancelot Rd Wembley OLE Monitoring/02_Commercial/00_AFV/250019_Project_Dashboard.xlsx
250100,Manchester Airport Utility,Systra,1,InoSurveying,Processing,2,1,2,250100-Systra-21002-Processing,Fixed Fee,Internal,Original Scope,29/08/2025,31/12/2025,0,0,250100,Processing,2564.52,2564.52,2564.52,0,0,0,0,2564.52,1,https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/250100 Systra - Manchester Airport Utility/02_Commercial/00_AFV/250100_Project_Dashboard.xlsx
250118,Church Lane Level Crossing,AMCO,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,2,250118-AMCO-22002-Utility topographical survey,Fixed Fee,Internal,Change,09/09/2025,31/12/2025,0,0,250118,Utility topographical survey,2563.65,2563.65,2563.65,0,0,0,0,2563.65,1,https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/250118 AMCO - Church Lane Level Crossing/02_Commercial/00_AFV/250118_Project_Dashboard.xlsx
2500227,Disley Station,AMCO,1,InoSurveying,Monitoring,2,4,1,2500227-AMCO-24001-Daily_Monitoring_Reports,Time Charge,Internal,Original Scope,09/09/2025,31/12/2025,0,0,2500227,Daily_Monitoring_Reports,729.44,729.44,729.44,0,0,0,0,729.44,1,https://inorail.sharepoint.com/sites/Projects250000/Shared Documents/250227 AMCO - Disley Station/02_Commercial/00_AFV/2500227_Project_Dashboard.xlsx
240198,WOC AP2 - RRAP Compound,Network Rail,1,InoSurveying,Ground and Structural Investigation,2,5,1,240198-Network Rail-25001-Ground_Investigation,Fixed Fee,External,Original Scope,30/10/2025,31/12/2025,0,0,240198,Ground_Investigation,3112.5,3112.5,3112.5,0,0,0,0,3112.5,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240198 Network Rail - WOC AP2 - RRAP Compound/02_Commercial/00_AFV/240198_Project_Dashboard.xlsx
342,Newcastle Gateshead Crack Monitoring,AMCO,1,InoSurveying,Monitoring,2,4,1,342-AMCO-24001-Year_1,Fixed Fee,Internal,Original Scope,03/06/2025,31/12/2025,0,0,342,Year_1,10099,10099,10099,0,0,0,0,10099,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0342 Newcastle Gateshead Crack Monitoring/Commercial/00_AFV/0342_Project_Dashboard.xlsx
342,Newcastle Gateshead Crack Monitoring,AMCO,1,InoSurveying,Surveying Project Management,2,0,1,342-AMCO-20001-Survey_Management,Fixed Fee,Internal,Original Scope,03/06/2025,31/12/2025,0,0,342,Survey_Management,1426,1426,1426,0,0,0,0,1426,1,https://inorail.sharepoint.com/sites/InoRailLtdProjectDrive/Shared Documents/RO-P-0342 Newcastle Gateshead Crack Monitoring/Commercial/00_AFV/0342_Project_Dashboard.xlsx
240235,MND0035 Greenfold Bridge,AMCO,1,InoSurveying,Surveying Project Management,2,0,1,240235-AMCO-20001-Survey_Project_Management,Fixed Fee,Internal,Original Scope,13/06/2025,31/12/2025,0,0,240235,Survey_Project_Management,332,332,332,0,0,0,0,332,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240235 AMCO - MND0035 Greenfold Bridge/02_Commercial/00_AFV/240235_Project_Dashboard.xlsx
240279,NWC D1 NW-MND0440 Accrington Rd Monitoring,AMCO,1,InoSurveying,Surveying Project Management,2,0,1,240279-AMCO-20001-Survey_Project_Management,Fixed Fee,Internal,Original Scope,22/05/2025,31/12/2025,0,0,240279,Survey_Project_Management,1228,1228,1228,0,0,0,0,1228,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240279 AMCO - NWC D1 NW-MND0440 Accrington Rd Monitoring/02_Commercial/00_AFV/240279_Project_Dashboard.xlsx
240279,NWC D1 NW-MND0440 Accrington Rd Monitoring,AMCO,1,InoSurveying,"Materials, Expenses, Accommodation",2,6,1,240279-AMCO-26001-Disbursements,Fixed Fee,Internal,Original Scope,22/05/2025,31/12/2025,0,0,240279,Disbursements,462,462,462,0,0,0,0,462,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240279 AMCO - NWC D1 NW-MND0440 Accrington Rd Monitoring/02_Commercial/00_AFV/240279_Project_Dashboard.xlsx
240281,Wolverton Station Survey,Story,1,InoSurveying,Surveying Project Management,2,0,1,240281-Story-20001-Management,Fixed Fee,Internal,Original Scope,04/08/2025,31/12/2025,0,0,240281,Management,434.78,434.78,434.78,0,0,0,0,434.78,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240281 Story - Wolverton Station Survey/02_Commercial/00_AFV/240281_Project_Dashboard.xlsx
240283,Four Gates Bridge Buttress,AMCO,1,InoSurveying,Processing,2,1,1,240283-AMCO-21001-Processing,Fixed Fee,Internal,Original Scope,08/09/2025,31/12/2025,0,0,240283,Processing,678.02,678.02,678.02,0,0,0,0,678.02,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240283 AMCO - Four Gates Bridge Buttress/02_Commercial/00_AFV/240283_Project_Dashboard.xlsx
240298,MND0125-AMC Charnock Footbridge,AMCO,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,1,240298-AMCO-22001-Survey,Fixed Fee,Internal,Original Scope,06/08/2025,31/12/2025,0,0,240298,Survey,1159.4,1159.4,1159.4,0,0,0,0,1159.4,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240298 AMCO - MND0125-AMC Charnock Footbridge/02_Commercial/00_AFV/240298_Project_Dashboard.xlsx
240298,MND0125-AMC Charnock Footbridge,AMCO,1,InoSurveying,Processing,2,1,1,240298-AMCO-21001-Processing,Fixed Fee,Internal,Original Scope,06/08/2025,31/12/2025,0,0,240298,Processing,436.32,436.32,436.32,0,0,0,0,436.32,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240298 AMCO - MND0125-AMC Charnock Footbridge/02_Commercial/00_AFV/240298_Project_Dashboard.xlsx
240318,Darlington Station Drainage and CCTV,Atkins,1,InoSurveying,Processing,2,1,1,240318-Atkins-21001-Processing,Fixed Fee,Internal,Original Scope,30/05/2025,31/12/2025,0,0,240318,Processing,568,568,568,0,0,0,0,568,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240318 Atkins_Darlington Stn/02_Commercial/00_AFV/240318_Project_Dashboard.xlsx
240318,Darlington Station Drainage and CCTV,Atkins,1,InoSurveying,Surveying Project Management,2,0,1,240318-Atkins-20001-Management,Fixed Fee,Internal,Original Scope,30/05/2025,31/12/2025,0,0,240318,Management,564,564,564,0,0,0,0,564,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240318 Atkins_Darlington Stn/02_Commercial/00_AFV/240318_Project_Dashboard.xlsx
240335,CP7 Year 2 Plain Line,Atkins,1,InoSurveying,Surveying Project Management,2,0,1,240335-Atkins-20001-Roade_&_Ashton_Management,Fixed Fee,Internal,Original Scope,23/10/2025,31/12/2025,0,0,240335,Roade_&_Ashton_Management,484.76,484.76,484.76,0,0,0,0,484.76,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240335 CRSA Year 2 Plain Line Surveys/02_Commercial/00_AFV/240335_Project_Dashboard.xlsx
240347,MNC0510 Sheet Pile Wall,AMCO,1,InoSurveying,Surveying Project Management,2,0,1,240347-AMCO-20001-Topographical_Survey_Management_&_Planning,Fixed Fee,Internal,Original Scope,20/06/2025,31/12/2025,0,0,240347,Topographical_Survey_Management_&_Planning,434.78,434.78,434.78,0,0,0,0,434.78,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240347 AMCO - MNC0510 Sheet Pile Wall/02_Commercial/00_AFV/240347_Project_Dashboard.xlsx
240347,MNC0510 Sheet Pile Wall,AMCO,1,InoSurveying,Topographical Surveys (inlc. UAV),2,2,1,240347-AMCO-22001-Topographical_Survey,Fixed Fee,Internal,Original Scope,20/06/2025,31/12/2025,0,0,240347,Topographical_Survey,1576.25,1576.25,1576.25,0,0,0,0,1576.25,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240347 AMCO - MNC0510 Sheet Pile Wall/02_Commercial/00_AFV/240347_Project_Dashboard.xlsx
240347,MNC0510 Sheet Pile Wall,AMCO,1,InoSurveying,Processing,2,1,1,240347-AMCO-21001-Survey_Processing_&_Quality_Check,Fixed Fee,Internal,Original Scope,20/06/2025,31/12/2025,0,0,240347,Survey_Processing_&_Quality_Check,678.02,678.02,678.02,0,0,0,0,678.02,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240347 AMCO - MNC0510 Sheet Pile Wall/02_Commercial/00_AFV/240347_Project_Dashboard.xlsx
240347,MNC0510 Sheet Pile Wall,AMCO,1,InoSurveying,"Materials, Expenses, Accommodation",2,6,1,240347-AMCO-26001-Disbursements,Fixed Fee,Internal,Original Scope,20/06/2025,31/12/2025,0,0,240347,Disbursements,499.32,499.32,499.32,0,0,0,0,499.32,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240347 AMCO - MNC0510 Sheet Pile Wall/02_Commercial/00_AFV/240347_Project_Dashboard.xlsx
240352,Preston THB,AMCO,1,InoSurveying,Monitoring,2,4,1,240352-AMCO-24001-THB,Fixed Fee,Internal,Original Scope,20/08/2025,31/12/2025,0,0,240352,THB,1200,1200,1200,0,0,0,0,1200,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240352 AMCO - Preston THB/02_Commercial/00_AFV/240352_Project_Dashboard.xlsx
240352,Preston THB,AMCO,1,InoSurveying,Surveying Project Management,2,0,1,240352-AMCO-20001-Management,Fixed Fee,Internal,Original Scope,20/08/2025,31/12/2025,0,0,240352,Management,242.38,242.38,242.38,0,0,0,0,242.38,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240352 AMCO - Preston THB/02_Commercial/00_AFV/240352_Project_Dashboard.xlsx
240356,Souththorpe Farm,AMCO,1,InoSurveying,Processing,2,1,1,240356-AMCO-21001-Processing,Fixed Fee,Internal,Original Scope,20/08/2025,31/12/2025,0,0,240356,Processing,776,776,776,0,0,0,0,776,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240356 AMCO - MEC 6761B Souththorpe Farm/02_Commercial/00_AFV/240356_Project_Dashboard.xlsx
240360,W2B Datum Plating,ReadyPower,1,InoSurveying,Surveying Project Management,2,0,1,240360-Readypower-20001-Management,Fixed Fee,Internal,Original Scope,04/08/2025,31/12/2025,0,0,240360,Management,647.44,647.44,647.44,0,0,0,0,647.44,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240360 Readypower - W2B Datum Plating/02_Commercial/00_AFV/240360_Project_Dashboard.xlsx
240365,Wakefield Emergency OLE Monitoring,AMCO,1,InoSurveying,Surveying Project Management,2,0,1,240365-AMCO-20001-Management,Fixed Fee,Internal,Original Scope,20/08/2025,31/12/2025,0,0,240365,Management,569.52,569.52,569.52,0,0,0,0,569.52,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240365 AMCO DOL2 Wakefield Emergency OLE Monitoring & Survey/02_Commercial/00_AFV/240365_Project_Dashboard.xlsx
240365,Wakefield Emergency OLE Monitoring,AMCO,1,InoSurveying,Utilities / Drainage,2,3,1,240365-AMCO-23001-Utilities_Site_Survey,Fixed Fee,Internal,Original Scope,20/08/2025,31/12/2025,0,0,240365,Utilities_Site_Survey,1755,1755,1755,0,0,0,0,1755,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240365 AMCO DOL2 Wakefield Emergency OLE Monitoring & Survey/02_Commercial/00_AFV/240365_Project_Dashboard.xlsx
240369,St Helens Central Platform,Atkins,1,InoSurveying,Surveying Project Management,2,0,1,240369-Atkins -20001-Management,Fixed Fee,Internal,Original Scope,04/07/2025,31/12/2025,0,0,240369,Management,375.76,375.76,375.76,0,0,0,0,375.76,1,https://inorail.sharepoint.com/sites/Projects240000/Shared Documents/240369 Atkins CMP1 Signal And St Helens Central/02_Commercial/00_AFV/240369_Project_Dashboard.xlsx
